,ean_hotel_id,name,address1,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
114,482259,Topping Rose House,One Bridgehampton - Sag Harbor Turnpike,Bridgehampton,NY,11932,40.9378,-72.30069,4.5,995.39,295.39
185,556612,The William Vale Hotel,111 North 12th Street,Brooklyn,NY,11249,40.72243,-73.9573,5.0,659.37,299.37
191,606740,1 Hotel Brooklyn Bridge,60 Furman Street,Brooklyn,NY,11201,40.70164,-73.99553,5.0,893.13,297.0
635,235192,The Whiteface Lodge,7 Whiteface Inn Ln,Lake Placid,NY,12946,44.29686,-74.00878,4.5,474.29,398.84
709,486516,The Boro Hotel,38-28 27th Street,Long Island City,NY,11101,40.75455,-73.93583,4.5,209.41,149.41
789,116103,Blakely New York,136 W 55th St,New York,NY,10019,40.76366,-73.97965,4.5,206.46,205.46
799,438630,WestHouse New York,201 West 55th Street,New York,NY,10019,40.76442,-73.98144,5.0,510.49,370.23
801,226121,The Westin New York at Times Square,270 W 43rd Street,New York,NY,10036,40.75779,-73.98902,4.5,309.45,304.45
806,424023,Refinery Hotel,63 W 38th St,New York,NY,10018,40.75211,-73.98546,5.0,439.37,279.37
809,199889,W New York - Times Square,1567 Broadway At 47th St,New York,NY,10036,40.75936,-73.98512,4.5,616.6,381.61
811,416820,The Westin New York Grand Central,212 East 42nd Street,New York,NY,10017,40.75041,-73.97378,4.5,679.1567,499.1459
821,439332,Viceroy Central Park New York,120 W 57th St,New York,NY,10019,40.76479,-73.97831,5.0,779.08,209.27
828,115902,New York Marriott Marquis,1535 Broadway,New York,NY,10036,40.75823,-73.98546,4.5,640.41,310.41
832,339013,Kimpton Hotel Eventi,851 Avenue of the Americas,New York,NY,10001,40.74719,-73.9897,5.0,699.17,499.17
834,324226,Andaz Wall Street - a concept by Hyatt,75 Wall St,New York,NY,10005,40.70503,-74.00762,4.5,292.1304,242.1499
835,203969,The Premier New York Times Square,133 W 44th St,New York,NY,10036,40.75671,-73.98448,4.5,329.24,215.19
839,348293,NoMo SoHo,9 Crosby Street,New York,NY,10013,40.71992,-74.0003,4.5,945.19,375.18
840,340156,InterContinental - New York Times Square,300 W 44th St,New York,NY,10036,40.75874,-73.98932,4.5,789.17,369.15
848,126106,The Kitano New York,66 Park Ave,New York,NY,10016,40.74962,-73.97962,4.5,539.0279,269.014
849,109362,Omni Berkshire Place,21 E 52nd Street,New York,NY,10022,40.75927,-73.97502,4.5,1000.21,1000.0
854,163820,Hotel Sofitel New York,45 W 44th St,New York,NY,10036,40.75561,-73.9819,4.5,1036.1801,223.2
861,367406,The Gotham Hotel,16 E 46th St,New York,NY,10017,40.75566,-73.97814,4.5,679.0,221.0
862,390179,TRYP By Wyndham Times Square South,345 W 35th Street,New York,NY,10001,40.75359,-73.99473,4.5,399.21,269.0
867,349751,Andaz 5th Avenue - a concept by Hyatt,485 5th Ave,New York,NY,10017,40.75287,-73.98134,4.5,845.06,345.0
876,200065,Le Parker Meridien New York,119 W. 56th Street,New York,NY,10019,40.76409,-73.97873,4.5,479.42,239.42
883,353129,The James New York,27 Grand St,New York,NY,10013,40.72284,-74.00471,4.5,595.0,295.0
892,125509,Loews Regency New York Hotel,540 Park Avenue,New York,NY,10065,40.76446,-73.96885,5.0,999.4,479.4
899,109318,Lotte New York Palace,455 Madison Ave,New York,NY,10022,40.75823,-73.97453,4.5,1195.41,349.41
901,383834,Dream Downtown,355 W 16th St,New York,NY,10011,40.74195,-74.00369,4.5,5000.3501,299.36
904,112923,Waldorf Astoria New York,301 Park Avenue,New York,NY,10022,40.75658,-73.97432,4.5,280.4,210.4
905,325735,Trump Soho New York,246 Spring Street,New York,NY,10013,40.72563,-74.00558,5.0,1905.3199,345.32
931,469458,Gansevoort Park Avenue NYC,420 Park Ave South,New York,NY,10016,40.74386,-73.98377,4.5,710.23,275.17
936,171177,The Kimpton Muse Hotel,130 W 46th St,New York,NY,10036,40.75798,-73.98362,4.5,579.46,278.46
938,341910,W New York - Downtown,8 Albany Street,New York,NY,10006,40.70946,-74.01394,4.5,389.19,179.45
939,374895,Hotel 48LEX New York,517 Lexington Avenue,New York,NY,10017,40.75525,-73.9732,4.5,1539.38,339.06
947,125511,Warwick New York,65 W 54th St,New York,NY,10019,40.76226,-73.97826,4.5,339.05,269.04
948,274141,Kimpton Ink48 Hotel,653 11th Avenue,New York,NY,10036,40.76445,-73.99569,4.5,639.15,440.15
969,219391,The Benjamin,125 E 50th St,New York,NY,10022,40.75638,-73.97209,4.5,449.49,353.12
972,106394,JW Marriott Essex House New York,160 Central Park S,New York,NY,10019,40.76652,-73.97825,4.5,1499.02,314.02
973,117363,The London NYC,151 W 54th St,New York,NY,10019,40.76328,-73.98065,4.5,2579.1799,299.06
976,231553,"The Pierre, A Taj Hotel, New York",2 E 61st St,New York,NY,10065,40.76534,-73.97222,5.0,1075.46,489.46
980,169343,Conrad New York,102 North End Avenue,New York,NY,10282,40.71505,-74.01601,5.0,461.0829,269.0617
983,120829,Royalton Times Square,44 W 44th St,New York,NY,10036,40.75571,-73.98216,4.5,349.0528,219.0322
